[1;34m[src/utils/log.c:30 init_log] Log is written to /home/xietianle/ysyx-workbench/am-kernels/kernels/bird/build/nemu-log.txt[0m
[1;34m[src/memory/paddr.c:60 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'serial' at [0xa00003f8, 0xa00003ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'rtc' at [0xa0000048, 0xa000004f][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vgactl' at [0xa0000100, 0xa0000107][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'vmem' at [0xa1000000, 0xa10752ff][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'keyboard' at [0xa0000060, 0xa0000063][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio' at [0xa0000200, 0xa0000217][0m
[1;34m[src/device/io/mmio.c:50 add_mmio_map] Add mmio map 'audio-sbuf' at [0xa1200000, 0xa120ffff][0m
[1;34m[src/monitor/monitor.c:63 load_img] The image is /home/xietianle/ysyx-workbench/am-kernels/kernels/bird/build/bird-fly-riscv32-nemu.bin, size = 16164[0m
[1;34m[src/monitor/monitor.c:29 welcome] Trace: [1;32mON[0m[0m
[1;34m[src/monitor/monitor.c:30 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[src/monitor/monitor.c:33 welcome] Build time: 22:59:36, Sep  4 2025[0m
[1;34m[src/monitor/monitor.c:36 welcome] Exercise: Please remove me in the source code and compile NEMU again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 00 c1 17 auipc	sp, 12
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 0c d0 00 ef jal	ra, 0x800008d8
0x800008d8: ff 01 01 13 addi	sp, sp, -16
0x800008dc: 00 00 15 17 auipc	a0, 1
0x800008e0: ff 85 05 13 addi	a0, a0, -8
0x800008e4: 00 11 26 23 sw	ra, 12(sp)
0x800008e8: da 9f f0 ef jal	ra, 0x80000690
0x80000690: fc 01 01 13 addi	sp, sp, -64
0x80000694: 02 11 2e 23 sw	ra, 60(sp)
0x80000698: 02 81 2c 23 sw	s0, 56(sp)
0x8000069c: 02 91 2a 23 sw	s1, 52(sp)
0x800006a0: 03 21 28 23 sw	s2, 48(sp)
0x800006a4: 03 31 26 23 sw	s3, 44(sp)
0x800006a8: 03 41 24 23 sw	s4, 40(sp)
0x800006ac: 03 51 22 23 sw	s5, 36(sp)
0x800006b0: 03 61 20 23 sw	s6, 32(sp)
0x800006b4: 01 71 2e 23 sw	s7, 28(sp)
0x800006b8: 01 81 2c 23 sw	s8, 24(sp)
0x800006bc: 01 91 2a 23 sw	s9, 20(sp)
0x800006c0: 2c c0 00 ef jal	ra, 0x8000098c
0x8000098c: ff 01 01 13 addi	sp, sp, -16
0x80000990: 00 11 26 23 sw	ra, 12(sp)
0x80000994: 00 00 17 97 auipc	a5, 1
0x80000998: f4 c7 87 93 addi	a5, a5, -180
0x8000099c: 00 00 16 97 auipc	a3, 1
0x800009a0: 14 46 86 93 addi	a3, a3, 324
0x800009a4: 00 00 06 17 auipc	a2, 0
0x800009a8: f8 06 06 13 addi	a2, a2, -128
0x800009ac: 00 c0 00 6f jal	zero, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009b0: 00 47 87 93 addi	a5, a5, 4
0x800009b4: 00 d7 8c 63 beq	a5, a3, 0x800009cc
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
0x800009c8: fe d7 98 e3 bne	a5, a3, 0x800009b8
0x800009b8: 00 07 a7 03 lw	a4, 0(a5)
0x800009bc: fe 07 1a e3 bne	a4, zero, 0x800009b0
0x800009c0: 00 c7 a0 23 sw	a2, 0(a5)
0x800009c4: 00 47 87 93 addi	a5, a5, 4
