[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/utils/log.c:34 init_log] Log is written to /home/xietianle/ysyx-workbench/am-kernels/kernels/demo/build/npc-log.txt[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/memory/paddr.c:70 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:64 load_img] The image is /home/xietianle/ysyx-workbench/am-kernels/kernels/demo/build/demo-riscv32e-npc.bin, size = 35692[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:30 welcome] Trace: [1;32mON[0m[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:31 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:34 welcome] Build time: 11:22:06, Aug 15 2025[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:37 welcome] Exercise: Please remove me in the source code and compile NPC again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 01 11 17 auipc	sp, 17
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 65 40 20 ef jal	ra, 0x80002660
0x80002660: ff 41 01 13 addi	sp, sp, -12
0x80002664: 00 00 55 17 auipc	a0, 5
0x80002668: 34 c5 05 13 addi	a0, a0, 844
0x8000266c: 00 11 24 23 sw	ra, 8(sp)
0x80002670: ea 9f f0 ef jal	ra, 0x80002518
0x80002518: fe c1 01 13 addi	sp, sp, -20
0x8000251c: 00 81 26 23 sw	s0, 12(sp)
0x80002520: 00 11 28 23 sw	ra, 16(sp)
0x80002524: 00 05 04 13 addi	s0, a0, 0
0x80002528: 1e 40 00 ef jal	ra, 0x8000270c
0x8000270c: ff 41 01 13 addi	sp, sp, -12
0x80002710: 00 11 24 23 sw	ra, 8(sp)
0x80002714: 00 00 57 97 auipc	a5, 5
0x80002718: 2b 87 87 93 addi	a5, a5, 696
0x8000271c: 00 00 56 97 auipc	a3, 5
0x80002720: 4b 06 86 93 addi	a3, a3, 1200
0x80002724: 00 00 06 17 auipc	a2, 0
0x80002728: f8 06 06 13 addi	a2, a2, -128
0x8000272c: 00 c0 00 6f jal	zero, 0x80002738
0x80002738: 00 07 a7 03 lw	a4, 0(a5)
0x8000273c: fe 07 1a e3 bne	a4, zero, 0x80002730
0x80002740: 00 c7 a0 23 sw	a2, 0(a5)
0x80002744: 00 47 87 93 addi	a5, a5, 4
0x80002748: fe d7 98 e3 bne	a5, a3, 0x80002738
0x80002738: 00 07 a7 03 lw	a4, 0(a5)
0x8000273c: fe 07 1a e3 bne	a4, zero, 0x80002730
0x80002730: 00 47 87 93 addi	a5, a5, 4
0x80002734: 00 d7 8c 63 beq	a5, a3, 0x8000274c
0x80002738: 00 07 a7 03 lw	a4, 0(a5)
0x8000273c: fe 07 1a e3 bne	a4, zero, 0x80002730
