[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/utils/log.c:34 init_log] Log is written to /home/xietianle/ysyx-workbench/am-kernels/kernels/hello/build/npc-log.txt[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/memory/paddr.c:67 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:64 load_img] The image is /home/xietianle/ysyx-workbench/am-kernels/kernels/hello/build/hello-riscv32e-npc.bin, size = 225[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/cpu/difftest/dut_cpu.c:84 init_difftest] Differential testing: [1;32mON[0m[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/cpu/difftest/dut_cpu.c:85 init_difftest] The result of every instruction will be compared with /home/xietianle/ysyx-workbench/nemu/build/riscv32-nemu-interpreter-so. This will help you a lot for debugging, but also significantly reduce the performance. If it is not necessary, you can turn it off in menuconfig.[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:30 welcome] Trace: [1;32mON[0m[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:31 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:34 welcome] Build time: 10:16:08, Aug 15 2025[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:37 welcome] Exercise: Please remove me in the source code and compile NPC again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 00 91 17 auipc	sp, 9
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 08 80 00 ef jal	ra, 0x80000094
0x80000094: ff 41 01 13 addi	sp, sp, -12
0x80000098: 00 00 05 17 auipc	a0, 0
0x8000009c: 04 85 05 13 addi	a0, a0, 72
0x800000a0: 00 11 24 23 sw	ra, 8(sp)
0x800000a4: f6 df f0 ef jal	ra, 0x80000010
0x80000010: ff 01 01 13 addi	sp, sp, -16
0x80000014: 00 81 24 23 sw	s0, 8(sp)
0x80000018: 00 a1 20 23 sw	a0, 0(sp)
0x8000001c: 00 11 26 23 sw	ra, 12(sp)
0x80000020: 00 91 22 23 sw	s1, 4(sp)
0x80000024: 00 00 04 17 auipc	s0, 0
0x80000028: 09 04 04 13 addi	s0, s0, 144
0x8000002c: 04 80 05 13 addi	a0, zero, 72
0x80000030: 01 40 00 6f jal	zero, 0x80000044
0x80000044: 02 50 07 93 addi	a5, zero, 37
0x80000048: fe f5 16 e3 bne	a0, a5, 0x80000034
0x80000034: 05 40 00 ef jal	ra, 0x80000088
0x80000088: a0 00 07 b7 lui	a5, 655360
0x8000008c: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000090: 00 00 80 67 jalr	zero, 0(ra)
0x80000038: 00 14 45 03 lbu	a0, 1(s0)
0x8000003c: 00 14 04 13 addi	s0, s0, 1
0x80000040: 02 05 0a 63 beq	a0, zero, 0x80000074
0x80000044: 02 50 07 93 addi	a5, zero, 37
0x80000048: fe f5 16 e3 bne	a0, a5, 0x80000034
0x80000034: 05 40 00 ef jal	ra, 0x80000088
0x80000088: a0 00 07 b7 lui	a5, 655360
0x8000008c: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000090: 00 00 80 67 jalr	zero, 0(ra)
0x80000038: 00 14 45 03 lbu	a0, 1(s0)
0x8000003c: 00 14 04 13 addi	s0, s0, 1
0x80000040: 02 05 0a 63 beq	a0, zero, 0x80000074
0x80000044: 02 50 07 93 addi	a5, zero, 37
0x80000048: fe f5 16 e3 bne	a0, a5, 0x80000034
0x80000034: 05 40 00 ef jal	ra, 0x80000088
0x80000088: a0 00 07 b7 lui	a5, 655360
0x8000008c: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000090: 00 00 80 67 jalr	zero, 0(ra)
0x80000038: 00 14 45 03 lbu	a0, 1(s0)
0x8000003c: 00 14 04 13 addi	s0, s0, 1
0x80000040: 02 05 0a 63 beq	a0, zero, 0x80000074
0x80000044: 02 50 07 93 addi	a5, zero, 37
0x80000048: fe f5 16 e3 bne	a0, a5, 0x80000034
0x80000034: 05 40 00 ef jal	ra, 0x80000088
0x80000088: a0 00 07 b7 lui	a5, 655360
0x8000008c: 3e a7 8c 23 sb	a0, 1016(a5)
0x80000090: 00 00 80 67 jalr	zero, 0(ra)
0x80000038: 00 14 45 03 lbu	a0, 1(s0)
0x8000003c: 00 14 04 13 addi	s0, s0, 1
0x80000040: 02 05 0a 63 beq	a0, zero, 0x80000074
0x80000044: 02 50 07 93 addi	a5, zero, 37
