[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/utils/log.c:34 init_log] Log is written to /home/xietianle/ysyx-workbench/am-kernels/kernels/yield-os/build/npc-log.txt[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/memory/paddr.c:70 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:64 load_img] The image is /home/xietianle/ysyx-workbench/am-kernels/kernels/yield-os/build/yield-os-riscv32e-npc.bin, size = 101928[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:30 welcome] Trace: [1;32mON[0m[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:31 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:34 welcome] Build time: 13:29:26, Aug 28 2025[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:37 welcome] Exercise: Please remove me in the source code and compile NPC again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 02 11 17 auipc	sp, 33
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 18 00 00 ef jal	ra, 0x8000018c
0x8000018c: ff 41 01 13 addi	sp, sp, -12
0x80000190: 00 00 15 17 auipc	a0, 1
0x80000194: c8 c5 05 13 addi	a0, a0, -884
0x80000198: 00 11 24 23 sw	ra, 8(sp)
0x8000019c: f0 df f0 ef jal	ra, 0x800000a8
0x800000a8: fe 41 01 13 addi	sp, sp, -28
0x800000ac: 00 00 05 17 auipc	a0, 0
0x800000b0: f6 45 05 13 addi	a0, a0, -156
0x800000b4: 00 11 2c 23 sw	ra, 24(sp)
0x800000b8: 00 81 2a 23 sw	s0, 20(sp)
0x800000bc: 00 91 28 23 sw	s1, 16(sp)
0x800000c0: 00 00 94 17 auipc	s0, 9
0x800000c4: d6 44 04 13 addi	s0, s0, -668
0x800000c8: 16 c0 00 ef jal	ra, 0x80000234
0x80000234: 00 05 07 93 addi	a5, a0, 0
0x80000238: 00 00 07 17 auipc	a4, 0
0x8000023c: 09 87 07 13 addi	a4, a4, 152
0x80000240: 30 57 10 73 csrrw	zero, mtvec, a4
0x80000244: 00 10 05 13 addi	a0, zero, 1
0x80000248: 00 01 97 17 auipc	a4, 25
0x8000024c: bc f7 2e 23 sw	a5, -1060(a4)
0x80000250: 00 00 80 67 jalr	zero, 0(ra)
0x800000cc: 00 00 14 97 auipc	s1, 1
0x800000d0: d5 84 84 93 addi	s1, s1, -680
0x800000d4: 00 04 05 93 addi	a1, s0, 0
0x800000d8: 00 10 06 93 addi	a3, zero, 1
0x800000dc: 00 00 06 17 auipc	a2, 0
0x800000e0: f6 86 06 13 addi	a2, a2, -152
0x800000e4: 00 04 85 13 addi	a0, s1, 0
0x800000e8: 16 c0 00 ef jal	ra, 0x80000254
0x80000254: fe 41 01 13 addi	sp, sp, -28
0x80000258: fb 05 87 13 addi	a4, a1, -80
