[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/utils/log.c:34 init_log] Log is written to /home/xietianle/ysyx-workbench/fceux-am/build/npc-log.txt[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/memory/paddr.c:70 init_mem] physical memory area [0x80000000, 0x87ffffff][0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:64 load_img] The image is /home/xietianle/ysyx-workbench/fceux-am/build/fceux-riscv32e-npc.bin, size = 406608[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:30 welcome] Trace: [1;32mON[0m[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:31 welcome] If trace is enabled, a log file will be generated to record the trace. This may lead to a large log file. If it is not necessary, you can disable it in menuconfig[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:34 welcome] Build time: 11:22:06, Aug 15 2025[0m
[1;34m[/home/xietianle/ysyx-workbench/npc/csrc/monitor/monitor.c:37 welcome] Exercise: Please remove me in the source code and compile NPC again.[0m
0x80000000: 00 00 04 13 addi	s0, zero, 0
0x80000004: 00 06 c1 17 auipc	sp, 108
0x80000008: ff c1 01 13 addi	sp, sp, -4
0x8000000c: 47 03 60 ef jal	ra, 0x8003647c
0x8003647c: ff 41 01 13 addi	sp, sp, -12
0x80036480: 00 00 f5 17 auipc	a0, 15
0x80036484: 2b 05 05 13 addi	a0, a0, 688
0x80036488: 00 11 24 23 sw	ra, 8(sp)
0x8003648c: d4 dc b0 ef jal	ra, 0x800021d8
0x800021d8: fe 81 01 13 addi	sp, sp, -24
0x800021dc: 00 11 2a 23 sw	ra, 20(sp)
0x800021e0: 00 81 28 23 sw	s0, 16(sp)
0x800021e4: 00 91 26 23 sw	s1, 12(sp)
0x800021e8: 00 05 04 13 addi	s0, a0, 0
0x800021ec: 33 c3 40 ef jal	ra, 0x80036528
0x80036528: ff 41 01 13 addi	sp, sp, -12
0x8003652c: 00 11 24 23 sw	ra, 8(sp)
0x80036530: 00 01 27 97 auipc	a5, 18
0x80036534: cd 07 87 93 addi	a5, a5, -816
0x80036538: 00 01 26 97 auipc	a3, 18
0x8003653c: ec 86 86 93 addi	a3, a3, -312
0x80036540: 00 00 06 17 auipc	a2, 0
0x80036544: f8 06 06 13 addi	a2, a2, -128
0x80036548: 00 c0 00 6f jal	zero, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003655c: 00 c7 a0 23 sw	a2, 0(a5)
0x80036560: 00 47 87 93 addi	a5, a5, 4
0x80036564: fe d7 98 e3 bne	a5, a3, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003654c: 00 47 87 93 addi	a5, a5, 4
0x80036550: 00 d7 8c 63 beq	a5, a3, 0x80036568
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003655c: 00 c7 a0 23 sw	a2, 0(a5)
0x80036560: 00 47 87 93 addi	a5, a5, 4
0x80036564: fe d7 98 e3 bne	a5, a3, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003655c: 00 c7 a0 23 sw	a2, 0(a5)
0x80036560: 00 47 87 93 addi	a5, a5, 4
0x80036564: fe d7 98 e3 bne	a5, a3, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003654c: 00 47 87 93 addi	a5, a5, 4
0x80036550: 00 d7 8c 63 beq	a5, a3, 0x80036568
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003654c: 00 47 87 93 addi	a5, a5, 4
0x80036550: 00 d7 8c 63 beq	a5, a3, 0x80036568
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003654c: 00 47 87 93 addi	a5, a5, 4
0x80036550: 00 d7 8c 63 beq	a5, a3, 0x80036568
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003654c: 00 47 87 93 addi	a5, a5, 4
0x80036550: 00 d7 8c 63 beq	a5, a3, 0x80036568
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003654c: 00 47 87 93 addi	a5, a5, 4
0x80036550: 00 d7 8c 63 beq	a5, a3, 0x80036568
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003655c: 00 c7 a0 23 sw	a2, 0(a5)
0x80036560: 00 47 87 93 addi	a5, a5, 4
0x80036564: fe d7 98 e3 bne	a5, a3, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003655c: 00 c7 a0 23 sw	a2, 0(a5)
0x80036560: 00 47 87 93 addi	a5, a5, 4
0x80036564: fe d7 98 e3 bne	a5, a3, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
0x80036558: fe 07 1a e3 bne	a4, zero, 0x8003654c
0x8003655c: 00 c7 a0 23 sw	a2, 0(a5)
0x80036560: 00 47 87 93 addi	a5, a5, 4
0x80036564: fe d7 98 e3 bne	a5, a3, 0x80036554
0x80036554: 00 07 a7 03 lw	a4, 0(a5)
